epsilon,epsilon_step,max_iter,mean_perturbation,mlp_test_accuracy,svm_test_accuracy
1.0,0.1,10.0,0.6914482605271024,0.9809523809523808,0.9809523809523808
5.0,0.5,10.0,2.2752150841735506,0.5047619047619047,0.7142857142857143
10.0,1.0,10.0,3.583941225299644,0.1904761904761904,0.5428571428571428
20.0,2.0,10.0,5.801893461997895,0.0571428571428571,0.3047619047619048
40.0,4.0,10.0,10.198626042678976,0.0,0.1619047619047619
1.0,0.04,25.0,0.6947625703574641,0.9714285714285714,0.9809523809523808
5.0,0.2,25.0,2.311844854314034,0.5142857142857142,0.6857142857142857
10.0,0.4,25.0,3.527999327835771,0.1523809523809524,0.5142857142857142
20.0,0.8,25.0,5.22429804014198,0.0571428571428571,0.2571428571428571
40.0,1.6,25.0,8.069780747977845,0.0095238095238095,0.2
1.0,0.02,50.0,0.695987098311134,0.9809523809523809,0.9809523809523809
5.0,0.1,50.0,2.338180024542663,0.47619047619047616,0.6761904761904762
10.0,0.2,50.0,3.593292549657077,0.13333333333333333,0.5333333333333333
20.0,0.4,50.0,5.18624693728396,0.047619047619047616,0.2761904761904762
40.0,0.8,50.0,7.36630421630071,0.01904761904761905,0.2571428571428571
