epsilon,epsilon_step,max_iter,mean_perturbation,mlp_test_accuracy,svm_test_accuracy
1.0,0.1,10.0,0.7289570966447795,0.9444444444444444,0.9814814814814816
1.0,0.04,25.0,0.7300790174991181,0.9537037037037036,0.9722222222222222
5.0,0.5,10.0,2.3602269394447597,0.0925925925925925,0.1296296296296296
5.0,0.2,25.0,2.3742866755896124,0.1018518518518518,0.1481481481481481
10.0,1.0,10.0,3.672451796835632,0.037037037037037,0.0462962962962962
10.0,0.4,25.0,3.6192679061948314,0.0462962962962962,0.0462962962962962
20.0,2.0,10.0,5.855866916355662,0.0277777777777777,0.0277777777777777
20.0,0.8,25.0,5.315306770485643,0.0277777777777777,0.0277777777777777
40.0,4.0,10.0,10.220966395817586,0.0277777777777777,0.0277777777777777
40.0,1.6,25.0,8.107177485398887,0.0277777777777777,0.0277777777777777
1.0,0.02,50.0,0.7307759368385368,0.9444444444444444,0.9814814814814815
5.0,0.1,50.0,2.392485919015538,0.09259259259259259,0.12962962962962962
10.0,0.2,50.0,3.694093999250176,0.037037037037037035,0.037037037037037035
20.0,0.4,50.0,5.281578554323523,0.037037037037037035,0.046296296296296294
40.0,0.8,50.0,7.464472907945484,0.027777777777777776,0.027777777777777776
