epsilon,epsilon_step,max_iter,mean_perturbation,mlp_test_accuracy,svm_test_accuracy
1.0,0.1,10.0,0.7289360564261175,0.9444444444444444,0.9814814814814816
1.0,0.04,25.0,0.7300603190581013,0.9537037037037036,0.9722222222222222
1.0,0.02,50.0,0.7307682843485297,0.9444444444444444,0.9814814814814816
5.0,0.5,10.0,2.3606930456644464,0.0925925925925925,0.1296296296296296
5.0,0.2,25.0,2.374757777952324,0.1018518518518518,0.1481481481481481
5.0,0.1,50.0,2.3930644943248978,0.0925925925925925,0.1296296296296296
10.0,1.0,10.0,3.67242276323145,0.037037037037037,0.0462962962962962
10.0,0.4,25.0,3.619385234167198,0.0462962962962962,0.0462962962962962
10.0,0.2,50.0,3.6943566508613976,0.037037037037037,0.037037037037037
20.0,2.0,10.0,5.854363443149251,0.0277777777777777,0.0277777777777777
20.0,0.8,25.0,5.3147084786820775,0.0277777777777777,0.0277777777777777
20.0,0.4,50.0,5.286898183791912,0.037037037037037,0.0462962962962962
40.0,4.0,10.0,10.216751048654416,0.0277777777777777,0.0277777777777777
40.0,1.6,25.0,8.110041964714728,0.0277777777777777,0.0277777777777777
40.0,0.8,50.0,7.462514867213949,0.027777777777777776,0.027777777777777776
