epsilon,mean_perturbation,mlp_test_accuracy,svm_test_accuracy
1.0,0.9907705124874023,0.9444444444444444,0.9629629629629629
2.0,1.9801117965994268,0.7685185185185185,0.8703703703703703
3.0,2.968161515908447,0.6388888888888888,0.6851851851851852
4.0,3.9549890558075083,0.5092592592592593,0.5648148148148148
5.0,4.940593124547273,0.37037037037037035,0.4166666666666667
6.0,5.924799828062012,0.35185185185185186,0.3425925925925926
7.0,6.907641644620811,0.2962962962962963,0.2962962962962963
8.0,7.889151729123363,0.26851851851851855,0.24074074074074073
9.0,8.8693412767306,0.25,0.2037037037037037
10.0,9.848180700231481,0.24074074074074073,0.19444444444444445
20.0,19.54975707731009,0.18518518518518517,0.14814814814814814
35.0,33.70498844068877,0.1111111111111111,0.17592592592592593
50.0,47.26664351359757,0.09259259259259259,0.09259259259259259
100.0,86.5013194296816,0.0,0.0
150.0,112.29123799042186,0.0,0.0
200.0,124.15341891603285,0.0,0.0
255.0,127.48193814562862,0.0,0.0
